Dataset,Best Accuracy,Hidden Layers,Learning Rate,Activation,Solver
data.csv,0.6867469879518072,"(64,)",0.001,logistic,adam
preprocessed_data.csv,0.7649717514124293,"(64,)",0.001,logistic,adam
feature_engineered_data.csv,0.7649717514124293,"(64,)",0.005,logistic,adam
preprocessed_minmax.csv,0.7581920903954802,"(64,)",0.001,tanh,adam
preprocessed_zscore.csv,0.7604519774011299,"(64,)",0.001,identity,sgd
preprocessed_decimal.csv,0.7627118644067796,"(64,)",0.005,identity,adam
fe_minmax.csv,0.752542372881356,"(64,)",0.001,identity,adam
fe_zscore.csv,0.7581920903954802,"(64,)",0.001,tanh,sgd
fe_decimal.csv,0.7559322033898305,"(64,)",0.005,tanh,adam
